Gene,Importance
ADAMTS5,0.6128985
CD300LG,0.09763435
NEK2,0.0715726
SCARA5,0.05080505
CAVIN2,0.043653097
CCN4,0.025440475
PAMR1,0.020461034
LINC00922,0.016518056
TMEM220,0.015484612
COMP,0.008298241
CXCL2,0.005797095
ADRB2,0.0045765606
LGR4-AS1,0.0045576016
COL10A1,0.004425797
GABRD,0.0032454245
PLPPR1,0.002564701
BTK,0.0018986226
FMO2,0.0017675118
MATN3,0.0017325446
HSD17B6,0.001625596
ADAMTS7,0.0013172938
CLPSL2,0.0012825103
LINC01614,0.0007516888
GLRA3,0.00072778645
N4BP3,0.0005225807
SLC4A4,0.0003340402
CORO2B,0.00010655145
SFTA1P,0.0
NRSN2-AS1,0.0
NHEG1,0.0
FAM236D,0.0
LOC101928371,0.0
RPS15AP17,0.0
TMEM246-AS1,0.0
CRIPTO3,0.0
ATP6V0E1P1,0.0
CT62,0.0
PPP1R26-AS1,0.0
RPF2P1,0.0
ANKRD49P2,0.0
RPL21P66,0.0
LINC01779,0.0
RPL23AP18,0.0
LHFPL3-AS2,0.0
HBAP1,0.0
RPL21P3,0.0
TMA7B,0.0
MKRN2OS,0.0
IGKV6D-21,0.0
MTND1P34,0.0
AIFM1P1,0.0
GAPDHP16,0.0
SNRPFP3,0.0
RPL15P4,0.0
KCNMA1-AS2,0.0
LINC01107,0.0
LINC02851,0.0
NUTM2B-AS1,0.0
RPL22P4,0.0
PLCB1-IT1,0.0
LINC01867,0.0
MTCO3P5,0.0
NFIB-AS1,0.0
JPX,0.0
FDPSP1,0.0
LOC124902324,0.0
LOC107986837,0.0
LINC01427,0.0
RPL36AP27,0.0
BOLA3-DT,0.0
KRT41P,0.0
PACRG-AS2,0.0
LINC01504,0.0
LINC01671,0.0
TNPO1P1,0.0
LOC100631258,0.0
RPL10P17,0.0
LINC00092,0.0
LOC100131348,0.0
PLEKHM1,0.0
PVALEF,0.0
LINC00457,0.0
LOC124900217,0.0
HRGP1,0.0
OSTM1-AS1,0.0
LOC124901296,0.0
DUTP6,0.0
LOC102724849,0.0
NPM1P39,0.0
TUBAP9,0.0
RPL29P29,0.0
LOC101930421,0.0
DYNC1I2P1,0.0
MORF4L1P4,0.0
PSME2P2,0.0
LINC00972,0.0
LINC00237,0.0
RPL23AP36,0.0
EEF1B2P5,0.0
PNMA6F,0.0
OR52K3P,0.0
DPY19L2P5,0.0
LOC101927293,0.0
RPL3P7,0.0
LOC105378798,0.0
RPS12P10,0.0
TPTE2-AS1,0.0
CDCA3P1,0.0
DNAJC19P4,0.0
ASS1P11,0.0
LINC00113,0.0
OSTCP2,0.0
PAWRP1,0.0
RPS2P30,0.0
LOC105372558,0.0
MTND1P18,0.0
RPL21P27,0.0
NOLC1P1,0.0
CICP12,0.0
LINC00705,0.0
SSX13P,0.0
TAF1A-AS1,0.0
PCDH9-AS3,0.0
ARMC8P1,0.0
RPL5P25,0.0
RPS2P1,0.0
RPL21P107,0.0
INTS6L-AS1,0.0
LINC02470,0.0
RPS27AP12,0.0
CHCHD4P5,0.0
HSPA7,0.0
SMARCE1P1,0.0
LOC102723427,0.0
MIR137HG,0.0
RPS8P1,0.0
RPL8P2,0.0
LINC01745,0.0
HCG23,0.0
RPL26P36,0.0
RPS27P16,0.0
MTND2P9,0.0
FRG2B,0.0
RPS6P11,0.0
LOC729254,0.0
BMS1P11,0.0
LINC01456,0.0
PSG8-AS1,0.0
PCNPP2,0.0
RUSC1-AS1,0.0
RPL34P4,0.0
LINC01980,0.0
RPL36P8,0.0
NIPA2P1,0.0
ACE2-DT,0.0
RPS18P1,0.0
ERCC6,0.0
FAM229A,0.0
LINC00626,0.0
IGHD6-25,0.0
RPL7P45,0.0
DEFB131B,0.0
WARS1P1,0.0
MTND4P23,0.0
TMEM30A-DT,0.0
SNX10-AS1,0.0
MKRN7P,0.0
TLK2P1,0.0
LINC01772,0.0
RWDD3-DT,0.0
PRICKLE2-AS3,0.0
CCT8P1,0.0
LOC100419786,0.0
LINC02660,0.0
SIMALR,0.0
PPIAP37,0.0
GTF2IP14,0.0
LAMP5-AS1,0.0
MICALL2-DT,0.0
OR7E19P,0.0
ZNF567-DT,0.0
NOL7,0.0
MTND1P23,0.0
ELFN1,0.0
SATB2-AS1,0.0
ODF2-AS1,0.0
NTF4,0.0
RIOK3P1,0.0
LINC01875,0.0
PCA3,0.0
SLC18A2-AS1,0.0
FAM133FP,0.0
LINC02249,0.0
LOC105373100,0.0
TAB2-AS1,0.0
LOC101060164,0.0
RPL21P92,0.0
PIGBOS1,0.0
RPL35AP4,0.0
LINC01729,0.0
HNRNPA3P15,0.0
MTND2P28,0.0
CFAP95-DT,0.0
AGBL4-IT1,0.0
MYT1L-AS1,0.0
RPL27P4,0.0
ZNF469,0.0
LOC105375589,0.0
CCDC13-AS2,0.0
MTOR-AS1,0.0
LINC01623,0.0
TRIM53AP,0.0
TRAM2-AS1,0.0
RPL35P5,0.0
DOCK4-AS1,0.0
CCT4P2,0.0
LOC100421468,0.0
LINC01492,0.0
MTCO3P20,0.0
C2CD4D,0.0
LOC105372791,0.0
LOC101927839,0.0
LINC02476,0.0
ZNF385D-AS1,0.0
LINC01821,0.0
OR5BE1P,0.0
LINC01393,0.0
NCBP2-AS1,0.0
MIAT,0.0
OR6V1,0.0
PROSER2-AS1,0.0
CROCCP1,0.0
LINC02620,0.0
LINC01831,0.0
P3H2-AS1,0.0
DBH-AS1,0.0
LOC105373559,0.0
NRG3-AS1,0.0
NEK4P1,0.0
FGD5-AS1,0.0
PDE9A-AS1,0.0
FAM66E,0.0
LOC105375448,0.0
RPL24P9,0.0
PTPRD-AS1,0.0
IGHV3-72,0.0
SLC26A6,0.0
FAM225B,0.0
PACRG-AS3,0.0
LOC105372988,0.0
LRP8-DT,0.0
RPL23AP27,0.0
MCRIP1,0.0
RPL14P2,0.0
TAF13P2,0.0
LINC01716,0.0
LOC124906859,0.0
LOC100506474,0.0
ASH2LP3,0.0
RPL7AP40,0.0
CCND3P1,0.0
ATXN1L,0.0
RPL18P5,0.0
LAMC1-AS1,0.0
PGAM1P6,0.0
C4BPAP1,0.0
SLC25A34-AS1,0.0
ATP5PBP1,0.0
LINC01708,0.0
NME2P2,0.0
RPSAP10,0.0
RPL23AP14,0.0
PIGUP1,0.0
FGF13-AS1,0.0
PRKAR2A-AS1,0.0
ATP5MFP1,0.0
ADM5,0.0
KRT18P27,0.0
LOC100533848,0.0
LINC02052,0.0
LINC00572,0.0
OR6D1P,0.0
RPL7P57,0.0
PELATON,0.0
METTL15P3,0.0
C4B,0.0
PRR29,0.0
LINC00703,0.0
LINC00539,0.0
LINC01015,0.0
HNRNPA1L3,0.0
LINC01117,0.0
COL18A1-AS2,0.0
RPL7AP78,0.0
C9orf78P2,0.0
LINC01886,0.0
LPP-AS1,0.0
LINC01087,0.0
HLA-DPB2,0.0
HMGB3P21,0.0
EIF4BP3,0.0
RPL31P36,0.0
CSRP1-AS1,0.0
LOC124904403,0.0
TMLHE-AS1,0.0
LOC105374901,0.0
SMIM13,0.0
PPIAP10,0.0
LOC105373277,0.0
KRT8P45,0.0
HTR2A-AS1,0.0
LINC00620,0.0
LINC00365,0.0
MRPS9-AS2,0.0
LINC02523,0.0
LOC101929662,0.0
MAPKAPK5P1,0.0
HNRNPA3P14,0.0
SAMM50P1,0.0
LINC02771,0.0
LOC100421692,0.0
KRT224P,0.0
SOX1-OT,0.0
MRRFP1,0.0
OR2J4P,0.0
OR2L1P,0.0
VSTM2A-OT1,0.0
RPS6P8,0.0
C10orf67-AS1,0.0
LINC00466,0.0
PHEX-AS1,0.0
RPS23P10,0.0
LINC02667,0.0
HAGLR,0.0
IGHV4-59,0.0
MIR3681HG,0.0
LINC00570,0.0
LINC02831,0.0
DNAJC27-AS1,0.0
LINC02828,0.0
LOC392787,0.0
HCG14,0.0
LINC02054,0.0
BAZ2B-AS1,0.0
MIR548XHG,0.0
LINC01857,0.0
POU6F2-AS1,0.0
INHBA-AS1,0.0
RPS14P1,0.0
CENPVL3,0.0
PITX1-AS1,0.0
MTND2P5,0.0
FAM135A-AS1,0.0
RPL36P6,0.0
SCEL-AS1,0.0
BICD1P1,0.0
RPL21P21,0.0
LINC00297,0.0
MDC1-AS1,0.0
CHL1-AS2,0.0
GTF2IP5,0.0
RPL7P7,0.0
LINC01567,0.0
LINC01527,0.0
MTATP6P16,0.0
MTCO1P39,0.0
PORCN-DT,0.0
MTCYBP11,0.0
LINC01142,0.0
RPL9P17,0.0
SLC25A5-AS1,0.0
LOC317727,0.0
RPS29P31,0.0
ARHGEF2-AS1,0.0
ENSAP1,0.0
LOC124905349,0.0
EPIC1,0.0
RPSAP18,0.0
LINC01133,0.0
VWC2L-IT1,0.0
PDCL3P6,0.0
PINCR,0.0
LINC02262,0.0
LOC728307,0.0
LINC00320,0.0
LINC00863,0.0
LINC01766,0.0
RPL21P91,0.0
SBF1P2,0.0
GAGE12H,0.0
POT1-AS1,0.0
VPS26BP1,0.0
LINC02840,0.0
RPS4XP16,0.0
ARL14EPP1,0.0
MTCYBP29,0.0
GPX5,0.0
MRPL20-AS1,0.0
LOC101928782,0.0
LINC01398,0.0
OPA1-AS1,0.0
MTND5P24,0.0
NQO2-AS1,0.0
LINC00240,0.0
LINC01689,0.0
TMEM183BP,0.0
COL4A2-AS2,0.0
LINC03046,0.0
TMEM72-AS1,0.0
BEND3P2,0.0
DUX4L9,0.0
NDUFAF8,0.0
FTH1P22,0.0
OR7E116P,0.0
CATIP-AS1,0.0
HMGB3P22,0.0
MTND5P27,0.0
RPL18AP2,0.0
EIF1AX-AS1,0.0
LOC102723566,0.0
RPL37P11,0.0
LOC100420057,0.0
LINC00328-2P,0.0
RPL7AP77,0.0
VTA1P1,0.0
LINC01526,0.0
GOT1-DT,0.0
TMEM233,0.0
RPL23AP85,0.0
PARP4P2,0.0
INE1,0.0
LARGE-AS1,0.0
LINC01645,0.0
PPP4R3C,0.0
PGM5-AS1,0.0
LINC01266,0.0
KCTD10P1,0.0
SRIP3,0.0
RPL37P24,0.0
PRRT4,0.0
LINC00184,0.0
LOC105375976,0.0
PPP1R8P1,0.0
NEFMP1,0.0
UBE2D3P3,0.0
RASAL2-AS1,0.0
RPL36AP29,0.0
SOCS5P2,0.0
GAPDHP46,0.0
GALNT13-AS1,0.0
EIF3EP2,0.0
IPO8P1,0.0
SH3BP5-AS1,0.0
GAGE12J,0.0
LINC01823,0.0
LINC00885,0.0
IGHV3-74,0.0
LINC00853,0.0
RPS27AP16,0.0
CDK5RAP3P1,0.0
RPL37P10,0.0
TUBB8P6,0.0
OR9R1P,0.0
KLHL25P1,0.0
RNPC3-DT,0.0
LOC105373175,0.0
HSD52,0.0
TGFA-IT1,0.0
RPLP1P3,0.0
RPS5P2,0.0
ZMIZ1-AS1,0.0
RPL21P72,0.0
MTND3P16,0.0
RPS28P5,0.0
TUBB4BP2,0.0
RPS27AP6,0.0
RPL37P17,0.0
RPL32P1,0.0
LOC124905119,0.0
KRT18P39,0.0
HLCS-AS1,0.0
LINC02670,0.0
